question,answer,disease,reference_url
What causes hidradenitis suppurativa (HS)?,"The exact cause of hidradenitis suppurativa is unknown, but it occurs near hair follicles where there are sweat glands, usually around the groin, bottom, breasts and armpits. Smoking and obesity are both strongly associated with hidradenitis suppurativa, and if you're obese and/or smoke it will make your symptoms worse. Many people with the condition also have acne and excessive hair growth (hirsutism). In rare cases, hidradenitis suppurativa may be linked to Crohn's disease, particularly if it develops around the groin area and the skin near the anus. Hidradenitis suppurativa runs in families in about 1 in 3 cases. It's not infectious and isn't linked to poor hygiene.",hidradenitis_suppurativa,https://www.nhs.uk/conditions/hidradenitis-suppurativa/
How is hidradenitis suppurativa (HS) diagnosed?,"There's no definitive test to help diagnose hidradenitis suppurativa. A GP will examine the affected areas of skin, and they may take a swab of an infected area. This can be helpful in making a diagnosis because the condition is not usually associated with the presence of bacteria that cause skin infections. Hidradenitis suppurativa could be mistaken for acne or ingrown hairs.",hidradenitis_suppurativa,https://www.nhs.uk/conditions/hidradenitis-suppurativa/
What are the possible treatments for hidradenitis suppurativa (HS)?,"Hidradenitis suppurativa is a lifelong, recurring condition that is often difficult to manage. It's important to recognise and diagnose the condition in its early stages to prevent it getting worse. In the early stages, it may be controlled with medicine. Surgery may be required in severe or persistent cases. Antibiotics are often used to treat the condition. However, in hidradenitis suppurativa, a secondary bacterial infection is not that common, so a swab of the affected area should be taken. In severe cases of HS, treatments that suppress the immune system, such as adalimumab can be useful. Surgery may be considered in cases where HS cannot be controlled with medicine.",hidradenitis_suppurativa,https://www.nhs.uk/conditions/hidradenitis-suppurativa/
What kind of antibiotics are used to treat hidradenitis suppurativa (HS)?,"If you have lumps that are particularly painful, inflamed and oozing pus, you may be prescribed a 1- or 2-week course of antibiotics, as you may have an infection. Some of the antibiotics used include erythromycin, lymecycline, doxycycline and tetracycline. In severe cases of HS, a combination of clindamycin and rifampicin can be effective, but these antibiotics are usually prescribed by dermatologists rather than GPs.",hidradenitis_suppurativa,https://www.nhs.uk/conditions/hidradenitis-suppurativa/
Can antiseptics be used to treat hidradenitis suppurativa (HS)?,"Antiseptic washes, such as 4% chlorhexidine, applied daily to affected areas are often prescribed alongside other treatments to prevent the spread of infection.",hidradenitis_suppurativa,https://www.nhs.uk/conditions/hidradenitis-suppurativa/
What is the outlook for people with hidradenitis suppurativa (HS)?,"Although hidradenitis suppurativa can persist for many years, if it's diagnosed early the symptoms can be improved with treatment. However, the condition can have a significant impact on a person's everyday life. Having to regularly change dressings and constantly live with the pain and discomfort of the symptoms can affect your quality of life and lead to depression. It's important to speak to a GP if you're finding it difficult to cope. Charities, such as The Hidradenitis Suppurativa Trust, can also provide help and support.",hidradenitis_suppurativa,https://www.nhs.uk/conditions/hidradenitis-suppurativa/
Who is affected by hidradenitis suppurativa (HS)?,"For reasons that are unknown, more women than men have the condition. It's thought to affect about 1 in 100 people. Hidradenitis suppurativa usually starts around puberty, but it can occur at any age. It's less common before puberty and after the menopause, which may suggest that sex hormones play a part.",hidradenitis_suppurativa,https://www.nhs.uk/conditions/hidradenitis-suppurativa/
What lifestyle advice can help manage hidradenitis suppurativa (HS)?,"If you have hidradenitis suppurativa you should lose weight if you are overweight, stop smoking if you smoke, use an antiseptic skin wash or antiseptic soap – this may be prescribed alongside other treatment, hold a warm flannel on the lumps to encourage the pus to drain, wear loose-fitting clothes, avoid shaving affected skin, and avoid wearing perfume or perfumed deodorants in the affected areas.",hidradenitis_suppurativa,https://www.nhs.uk/conditions/hidradenitis-suppurativa/
What can a cholesterol test measure?,"A cholesterol test can measure total cholesterol, total cholesterol to HDL cholesterol ratio, good cholesterol (HDL), and bad cholesterol (LDL and non-HDL).",high_cholesterol_cholesterol_levels,https://www.nhs.uk/conditions/high-cholesterol/cholesterol-levels/
What is the significance of the total cholesterol to HDL cholesterol ratio (TC:HDL)?,The TC:HDL ratio indicates the level of good cholesterol in your blood as compared to your overall cholesterol level.,high_cholesterol_cholesterol_levels,https://www.nhs.uk/conditions/high-cholesterol/cholesterol-levels/
What is considered high cholesterol?,High cholesterol is considered to be a total cholesterol level of 240 mg/dL or higher.,high_cholesterol_cholesterol_levels,https://www.nhs.uk/conditions/high-cholesterol/cholesterol-levels/
What is good cholesterol and how does it affect the risk of heart problems or stroke?,"Good cholesterol, also known as HDL, may reduce the risk of heart problems or stroke.",high_cholesterol_cholesterol_levels,https://www.nhs.uk/conditions/high-cholesterol/cholesterol-levels/
What is bad cholesterol and how does it affect the risk of heart problems or stroke?,"Bad cholesterol, also known as LDL and non-HDL, may increase the risk of heart problems or stroke.",high_cholesterol_cholesterol_levels,https://www.nhs.uk/conditions/high-cholesterol/cholesterol-levels/
What should I do if I am only told my total cholesterol level in my result?,"If you are only told your total cholesterol level, you can ask your doctor or nurse for separate results for your good and bad cholesterol and your total cholesterol to HDL ratio.",high_cholesterol_cholesterol_levels,https://www.nhs.uk/conditions/high-cholesterol/cholesterol-levels/
What factors are used alongside cholesterol levels to estimate the risk of cardiovascular disease?,"Cholesterol levels are used alongside other factors, such as lifestyle and medical conditions, to estimate your risk of cardiovascular disease.",high_cholesterol_cholesterol_levels,https://www.nhs.uk/conditions/high-cholesterol/cholesterol-levels/
"What levels should I aim for in terms of cholesterol, and how do they vary?",The levels you should aim for might vary depending on your age and whether you have conditions such as diabetes or cardiovascular disease. Ask your doctor or nurse what your levels should be.,high_cholesterol_cholesterol_levels,https://www.nhs.uk/conditions/high-cholesterol/cholesterol-levels/
Where can I find more information about cholesterol levels?,You can find more information about cholesterol levels on the Heart UK website.,high_cholesterol_cholesterol_levels,https://www.nhs.uk/conditions/high-cholesterol/cholesterol-levels/
What is total cholesterol?,"Total cholesterol is the overall amount of cholesterol in your blood, including both ""good"" and ""bad"" cholesterol.",high_cholesterol_cholesterol_levels,https://www.nhs.uk/conditions/high-cholesterol/cholesterol-levels/
What are some foods that can help lower cholesterol?,"Some foods that can help lower cholesterol include oily fish, brown rice, wholegrain bread and wholewheat pasta, nuts and seeds, and fruits and vegetables. It is important to check labels on food to see what type of fat it has in it and to try to eat less meat pies, sausages, fatty meat, butter, lard, ghee, cream, hard cheese like cheddar, cakes, biscuits, and food that contains coconut oil or palm oil.",high_cholesterol_how_to_lower_your_cholesterol,https://www.nhs.uk/conditions/high-cholesterol/how-to-lower-your-cholesterol/
How much exercise should I aim for each week to lower my cholesterol?,"You should aim to do at least 150 minutes (2.5 hours) of exercise a week to lower your cholesterol. Good exercises to try when starting out include walking, swimming, and cycling. It's important to try a few different exercises to find something you enjoy doing so that you are more likely to continue doing it.",high_cholesterol_how_to_lower_your_cholesterol,https://www.nhs.uk/conditions/high-cholesterol/how-to-lower-your-cholesterol/
Is smoking related to cholesterol levels?,"Yes, smoking is related to cholesterol levels. Smoking can raise your cholesterol and make you more likely to have serious problems like heart attacks, strokes, and cancer. If you want to stop smoking, you can get help and support from your GP or the NHS Stop Smoking Service.",high_cholesterol_how_to_lower_your_cholesterol,https://www.nhs.uk/conditions/high-cholesterol/how-to-lower-your-cholesterol/
What should I avoid if I want to lower my cholesterol?,"To lower your cholesterol, you should avoid fatty food, especially food that contains a type of fat called saturated fat. Additionally, you should try to eat less meat pies, sausages, fatty meat, butter, lard, ghee, cream, hard cheese like cheddar, cakes, biscuits, and food that contains coconut oil or palm oil. It's also important to cut down on alcohol, avoid drinking more than 14 units of alcohol a week, have several drink-free days each week, and avoid drinking lots of alcohol in a short time (binge drinking).",high_cholesterol_how_to_lower_your_cholesterol,https://www.nhs.uk/conditions/high-cholesterol/how-to-lower-your-cholesterol/
Can alcohol consumption affect cholesterol levels?,"Yes, alcohol consumption can affect cholesterol levels. To lower your cholesterol, you should cut down on alcohol, avoid drinking more than 14 units of alcohol a week, have several drink-free days each week, and avoid drinking lots of alcohol in a short time (binge drinking).",high_cholesterol_how_to_lower_your_cholesterol,https://www.nhs.uk/conditions/high-cholesterol/how-to-lower-your-cholesterol/
How can I tell what type of fat a food has in it?,"You can tell what type of fat a food has in it by checking its label. Try to cut down on fatty food, especially food that contains a type of fat called saturated fat. You can still have foods that contain a healthier type of fat called unsaturated fat.",high_cholesterol_how_to_lower_your_cholesterol,https://www.nhs.uk/conditions/high-cholesterol/how-to-lower-your-cholesterol/
Can smoking increase the risk of heart attacks?,"Yes, smoking can increase the risk of heart attacks. Smoking can raise your cholesterol and make you more likely to have serious problems like heart attacks, strokes, and cancer. If you want to stop smoking, you can get help and support from your GP or the NHS Stop Smoking Service.",high_cholesterol_how_to_lower_your_cholesterol,https://www.nhs.uk/conditions/high-cholesterol/how-to-lower-your-cholesterol/
What can I do to get help and support to stop smoking?,"If you want to stop smoking, you can get help and support from your GP or the NHS Stop Smoking Service. They can give you useful tips and advice about ways to stop cravings.",high_cholesterol_how_to_lower_your_cholesterol,https://www.nhs.uk/conditions/high-cholesterol/how-to-lower-your-cholesterol/
What is a hip replacement surgery?,Hip replacement surgery is a common surgery where a damaged hip joint is replaced with an artificial one. It is done on people of any age but is recommended for people between the ages of 60 to 80. The surgery relieves the patient of pain and improves their range of motion.,hip_replacement,https://www.nhs.uk/conditions/hip-replacement/
What are the reasons for conducting hip replacement surgery?,"Hip replacement surgery is conducted when the hip joint is worn out or damaged, causing pain even when resting and reduced mobility, which can be due to conditions like osteoarthritis, rheumatoid arthritis, hip fracture, and more. The surgery is recommended only when other treatments like physiotherapy or steroid injections are not successful in reducing pain or improving mobility.",hip_replacement,https://www.nhs.uk/conditions/hip-replacement/
How long does a hip replacement surgery last and how is it performed?,"A hip replacement surgery usually takes about 1 to 2 hours to complete and can be done under a general anesthetic or a spinal anesthetic. The surgeon makes a cut into the hip, removes the damaged hip joint and replaces it with an artificial joint, and the modern artificial hip joint is designed to last for at least 15 years.",hip_replacement,https://www.nhs.uk/conditions/hip-replacement/
What is the process of preparing for hip replacement surgery?,"Before going into surgery, patients are advised to find out as much as they can about the operation, continue gentle exercises, such as walking and swimming, in the weeks and months before the operation, and strengthen the muscles around their hip to help with their recovery. Physiotherapists may be consulted to advice on exercises, and rehabilitation programs may be offered to get the person back to full health after surgery.",hip_replacement,https://www.nhs.uk/conditions/hip-replacement/
What are the risks associated with hip replacement surgery?,"Complications of hip replacement surgery can be hip dislocation, infection at the site of the surgery, injuries to the blood vessels or nerves, DVT (deep vein thrombosis), a fracture in the bone around the hip replacement during or after the operation, differences in leg length, and earlier wear-out of the artificial hip joint.",hip_replacement,https://www.nhs.uk/conditions/hip-replacement/
What is the National Joint Registry?,"The National Joint Registry (NJR) collects details of hip replacements done in England, Wales, Northern Ireland, and the Isle of Man. It is voluntary to register but worth it as it enables the NJR to monitor hip replacement and identify patients if any issues arise in the future. The registry also gives patients the opportunity to participate in patient feedback surveys.",hip_replacement,https://www.nhs.uk/conditions/hip-replacement/
What is the process of recovering from hip replacement surgery?,"After hip replacement surgery, a person usually stays in the hospital for 3 to 5 days, recovery times may vary. Physiotherapists teach exercises to help strengthen the hip muscles, and if necessary, a person may be given equipment to help manage at home, and enrolled in an exercise program designed to improve the use of the hip joint. One is advised to return to light activities or office-based work within around six weeks but should consult with their doctor or physiotherapist.",hip_replacement,https://www.nhs.uk/conditions/hip-replacement/
What is metal-on-metal implant?,"Metal-on-metal (MoM) hip replacements are a type of hip replacement that can wear out sooner than expected, causing deterioration in the bone and tissue around the hip. The Medicines and Healthcare products Regulatory Agency (MHRA) has issued updated guidelines that recommend certain types of MoM devices should be checked every year while the implant is in place to identify potential complications early. These types of hip replacements are no longer commonly used, and one can reach out to their orthopedic surgeon to find out if any follow-up is required.",hip_replacement,https://www.nhs.uk/conditions/hip-replacement/
What is hirsutism?,"Hirsutism is a condition in which women develop thick, dark hair on their face, neck, chest, tummy, lower back, buttocks or thighs.",hirsutism,https://www.nhs.uk/conditions/hirsutism/
What causes hirsutism?,Hirsutism is caused by a hormone called androgen. Increase in the level of this hormone or your body becoming more sensitive to it can lead to hirsutism. Polycystic ovary syndrome (PCOS) is considered the most common cause of hirsutism.,hirsutism,https://www.nhs.uk/conditions/hirsutism/
What are the symptoms of polycystic ovary syndrome?,Polycystic ovary syndrome (PCOS) can cause symptoms such as acne and irregular periods in addition to hirsutism.,hirsutism,https://www.nhs.uk/conditions/hirsutism/
Is there any medicine that can cause hirsutism?,"Yes, certain medicines and anabolic steroids can cause hirsutism.",hirsutism,https://www.nhs.uk/conditions/hirsutism/
Is excessive hair growth related to age?,"If you have lighter, finer hair on your face or body, it's probably not hirsutism. Most women get more of this type of hair as they get older, particularly after the menopause.",hirsutism,https://www.nhs.uk/conditions/hirsutism/
What should I do if I have hirsutism?,"See a GP if you're a woman and you have thick, dark hair on your face, neck, chest, tummy, lower back, buttocks or thighs. Your GP will check what's causing the hair growth.",hirsutism,https://www.nhs.uk/conditions/hirsutism/
What are the treatments available for hirsutism?,"If you have hirsutism, your GP may suggest losing weight, hair removal approaches like shaving, waxing, plucking, hair removal creams or bleaching, a prescription cream to slow hair growth on your face, or taking a contraceptive pill if you've not been through the menopause yet. If these have not helped after 6 months, your GP may refer you to a specialist who may recommend other medicines to control your hormone levels.",hirsutism,https://www.nhs.uk/conditions/hirsutism/
Are there any long-lasting hair removal treatments available?,"Yes, there are treatments like electrolysis and laser hair removal that can get rid of unwanted hair for longer than the things you can do at home, but they're not usually permanent.",hirsutism,https://www.nhs.uk/conditions/hirsutism/
What is electrolysis?,"In electrolysis, an electric current is used to stop your hair from growing.",hirsutism,https://www.nhs.uk/conditions/hirsutism/
What are hives and how long do they usually last?,Hives are itchy rashes that can appear anywhere on the body and can last for a few minutes to a few days.,hives,https://www.nhs.uk/conditions/hives/
What are the main symptoms of hives?,"The main symptom of hives is an itchy rash that can be raised bumps or patches in many shapes and sizes, which can appear anywhere on the body and feel itchy or sting.",hives,https://www.nhs.uk/conditions/hives/
What should I do if I think I have hives?,"If you think you have hives, check if it's hives by looking for the main symptom of an itchy rash. You can often treat hives yourself, but if the rash spreads or does not improve after 2 days, see a GP.",hives,https://www.nhs.uk/conditions/hives/
Can a pharmacist help treat hives?,"Yes, a pharmacist can give you advice about antihistamine treatment to help a hives rash. However, this treatment might not be suitable for young children, and you should tell the pharmacist if you have a long-term condition.",hives,https://www.nhs.uk/conditions/hives/
What should I do if the symptoms of hives do not improve after 2 days?,"If the symptoms of hives do not improve after 2 days, see a GP as soon as possible.",hives,https://www.nhs.uk/conditions/hives/
Are there any triggers that can cause hives?,"Yes, triggers can include certain foods, contact with certain plants, animals, chemicals, and latex, cold or hot temperature, sweat, medicine, insect bite, scratching, infection, or a problem with your immune system.",hives,https://www.nhs.uk/conditions/hives/
What should I do if I have trouble breathing or my throat starts swelling due to hives?,"If you have trouble breathing, chest or throat tightness, or if your mouth, lips, tongue or throat start to swell, call 999 or go to A&E immediately as it could be a serious allergic reaction that requires immediate treatment in hospital.",hives,https://www.nhs.uk/conditions/hives/
What can happen if hives is not treated properly?,"If hives is not treated properly, it can lead to complications such as angioedema. If hives does not go away with treatment, you may be referred to a skin specialist for further evaluation.",hives,https://www.nhs.uk/conditions/hives/
What are the common triggers of hives?,"Common triggers of hives include certain foods, insect bites, contact with certain plants, animals or chemicals, scratching, exposure to cold or heat, sweat, and some medications.",hives,https://www.nhs.uk/conditions/hives/
How can I prevent an episode of hives?,"You can prevent an episode of hives by finding out what triggers it for you and avoiding those triggers if possible. This may involve avoiding certain foods, wearing loose and comfortable clothes, avoiding exposure to cold or heat, and managing stress.",hives,https://www.nhs.uk/conditions/hives/
What is Hodgkin lymphoma?,"Hodgkin lymphoma is a type of cancer that affects the lymphatic system of the body. Specifically, it develops in the lymphocytes, causing abnormal multiplication and collection of B-lymphocytes in certain parts of the body's lymphatic system. The condition weakens the immune system, making an individual more vulnerable to infections.",hodgkin_lymphoma,https://www.nhs.uk/conditions/hodgkin-lymphoma/
Who is at risk of developing Hodgkin lymphoma?,"Hodgkin lymphoma can develop at any age, but it mostly affects people between 20 and 40 years of age and those over 75 years of age. Slightly more men than women are affected. If you have a medical condition that weakens your immune system, take immunosuppressant medicine, or have been previously exposed to the Epstein-Barr virus, your risk of developing Hodgkin lymphoma is increased. You also have an increased risk if a first-degree relative has had the condition.",hodgkin_lymphoma,https://www.nhs.uk/conditions/hodgkin-lymphoma/
What are the common symptoms of Hodgkin lymphoma?,"The most common symptom of Hodgkin lymphoma is a painless swelling in a lymph node, usually in the neck, armpit or groin. Other symptoms may include tiredness, unexplained weight loss, excessive sweating- especially at night, and itching of the skin.",hodgkin_lymphoma,https://www.nhs.uk/conditions/hodgkin-lymphoma/
How is Hodgkin lymphoma diagnosed?,"The only way to confirm a diagnosis of Hodgkin lymphoma is by carrying out a biopsy. This is a minor surgical procedure where a sample of affected lymph node tissue is removed and studied in a laboratory. Diagnostic imaging tests such as CT scans, MRI scans, and PET scans may also be used to determine the extent and stage of the disease.",hodgkin_lymphoma,https://www.nhs.uk/conditions/hodgkin-lymphoma/
What are the main treatments for Hodgkin lymphoma?,"The main treatments for Hodgkin lymphoma are chemotherapy followed by radiotherapy or chemotherapy alone. Surgery isn't generally used as a treatment for the condition. Your recommended treatment plan will depend on your general health and age, as many of the treatments can put a tremendous strain on the body. How far the cancer has spread is also an important factor in determining the best treatment.",hodgkin_lymphoma,https://www.nhs.uk/conditions/hodgkin-lymphoma/
Is Hodgkin lymphoma a fatal disease?,"Hodgkin lymphoma is a relatively aggressive cancer and can quickly spread through the body. But, it is also one of the most easily treated types of cancer. Around 8 out of 10 people with Hodgkin lymphoma live at least 5 years, and most of these will be cured, but there's a risk of long-term problems after treatment, such as infertility and an increased chance of developing another type of cancer in the future.",hodgkin_lymphoma,https://www.nhs.uk/conditions/hodgkin-lymphoma/
What is the lymphatic system?,"The lymphatic system is a network of vessels and glands spread throughout the body that is part of the immune system. Clear fluid called lymph flows through the lymphatic vessels and contains infection-fighting white blood cells, known as lymphocytes.",hodgkin_lymphoma,https://www.nhs.uk/conditions/hodgkin-lymphoma/
How does Hodgkin lymphoma weaken the immune system?,"In Hodgkin lymphoma, B-lymphocytes start to multiply in an abnormal way and begin to collect in certain parts of the lymphatic system, such as the lymph nodes (glands). The affected lymphocytes lose their infection-fighting properties, making you more vulnerable to infection. This weakens the immune system.",hodgkin_lymphoma,https://www.nhs.uk/conditions/hodgkin-lymphoma/
Can immunosuppressant medicine increase the risk of developing Hodgkin lymphoma?,"Yes, taking immunosuppressant medicine can increase the risk of developing Hodgkin lymphoma. Immunosuppressant medication is often given to patients who have had an organ transplant, to prevent the body from rejecting the new organ. However, these drugs weaken the immune system and increase the risk of diseases such as Hodgkin lymphoma.",hodgkin_lymphoma,https://www.nhs.uk/conditions/hodgkin-lymphoma/
Does surgery play a role in the treatment of Hodgkin lymphoma?,"No, surgery is not generally used as a treatment for Hodgkin lymphoma. Chemotherapy followed by radiotherapy or chemotherapy alone are the main treatments. Surgical removal of lymph nodes may be necessary as a diagnostic tool to confirm the diagnosis, but it is not part of the treatment plan for Hodgkin lymphoma.",hodgkin_lymphoma,https://www.nhs.uk/conditions/hodgkin-lymphoma/
What is HRT?,Hormone replacement therapy (HRT) is a treatment to relieve symptoms of the menopause. It replaces hormones that are at a lower level as you approach the menopause.,hormone_replacement_therapy_hrt,https://www.nhs.uk/conditions/hormone-replacement-therapy-hrt/
What are the benefits of HRT?,"The main benefit of HRT is that it can help relieve most of the menopausal symptoms, such as hot flushes, night sweats, mood swings, vaginal dryness, reduced sex drive. It can also help prevent weakening of the bones (osteoporosis), which is more common after the menopause.",hormone_replacement_therapy_hrt,https://www.nhs.uk/conditions/hormone-replacement-therapy-hrt/
What are the risks of HRT?,Some types of HRT can increase your risk of breast cancer. The benefits of HRT are generally believed to outweigh the risks. But speak to a GP if you have any concerns about taking HRT. Read more about the risks of HRT.,hormone_replacement_therapy_hrt,https://www.nhs.uk/conditions/hormone-replacement-therapy-hrt/
Who can take HRT?,"Most women can have HRT if they're having symptoms associated with the menopause. But HRT may not be suitable if you have a history of breast cancer, ovarian cancer or womb cancer, have a history of blood clots, have untreated high blood pressure – your blood pressure will need to be controlled before you can start HRT, have liver disease, or are pregnant – it's still possible to get pregnant while taking HRT, so you should use contraception until 2 years after your last period if you're under 50, or for 1 year after the age of 50. In these circumstances, alternatives to HRT may be recommended instead.",hormone_replacement_therapy_hrt,https://www.nhs.uk/conditions/hormone-replacement-therapy-hrt/
What are the different types of HRT?,"There are many different types of HRT and finding the right one for you can be difficult. There are different HRT hormones – most women take a combination of the hormones oestrogen and progestogen, although women who do not have a womb can take oestrogen on its own, ways of taking HRT – including tablets, skin patches, gels and vaginal creams, pessaries or rings and HRT treatment plans – HRT medicine may be taken without stopping, or used in cycles where you take oestrogen without stopping but only take progestogen every few weeks. A GP can give you advice to help you choose which type is best for you. You may need to try more than 1 type before you find 1 that works best. Find out more about the different types of HRT.",hormone_replacement_therapy_hrt,https://www.nhs.uk/conditions/hormone-replacement-therapy-hrt/
How does HRT help relieve menopausal symptoms?,"HRT replaces hormones that are at a lower level as you approach the menopause. It helps relieve most of the menopausal symptoms, such as hot flushes, night sweats, mood swings, vaginal dryness, reduced sex drive.",hormone_replacement_therapy_hrt,https://www.nhs.uk/conditions/hormone-replacement-therapy-hrt/
What are the side effects of HRT?,"As with any medicine, HRT can cause side effects. But these will usually pass within 3 months of starting treatment. Common side effects include breast tenderness, headaches, feeling sick, indigestion, abdominal (tummy) pain, and vaginal bleeding.",hormone_replacement_therapy_hrt,https://www.nhs.uk/conditions/hormone-replacement-therapy-hrt/
What should I do if I have symptoms that persist for several months after stopping HRT?,"Contact a GP if you have symptoms that persist for several months after you stop HRT, or if you have particularly severe symptoms. You may need to start HRT again.",hormone_replacement_therapy_hrt,https://www.nhs.uk/conditions/hormone-replacement-therapy-hrt/
What are the alternatives to HRT?,"If you're unable to take HRT or decide not to, you may want to consider alternative ways of controlling your menopausal symptoms. Alternatives to HRT include lifestyle measures such as exercising regularly, eating a healthy diet, cutting down on coffee, alcohol and spicy foods, and stopping smoking; tibolone – a medicine that's similar to combined HRT (oestrogen and progestogen), but may not be as effective and is only suitable for women who had their last period more than 1 year ago; antidepressants – some antidepressants can help with hot flushes and night sweats, although they can also cause unpleasant side effects such as agitation and dizziness; and clonidine – a non-hormonal medicine that may help reduce hot flushes and night sweats in some women, although any benefits are likely to be small.",hormone_replacement_therapy_hrt,https://www.nhs.uk/conditions/hormone-replacement-therapy-hrt/
What should I do if I want to start taking HRT?,"Speak to a GP if you're interested in starting HRT. You can usually begin HRT as soon as you start experiencing menopausal symptoms and will not usually need to have any tests first. A GP can explain the different types of HRT available and help you choose one that's suitable for you. You'll usually start with a low dose, which may be increased at a later stage. It may take a few weeks to feel the effects of treatment, and there may be some side effects at first. A GP will usually recommend trying treatment for 3 months to see if it helps. If it does not, they may suggest changing your dose or changing the type of HRT you're taking.",hormone_replacement_therapy_hrt,https://www.nhs.uk/conditions/hormone-replacement-therapy-hrt/
What is hydrocephalus?,Hydrocephalus is a medical condition characterized by the buildup of fluid in the brain which can cause damage to it.,hydrocephalus,https://www.nhs.uk/conditions/hydrocephalus/
What are the main symptoms of hydrocephalus?,"Hydrocephalus can cause a wide range of symptoms such as headache, being sick, blurred vision, and difficulty walking.",hydrocephalus,https://www.nhs.uk/conditions/hydrocephalus/
How many types of hydrocephalus are there?,"There are mainly three types of hydrocephalus namely congenital hydrocephalus, acquired hydrocephalus, and normal pressure hydrocephalus.",hydrocephalus,https://www.nhs.uk/conditions/hydrocephalus/
What is normal pressure hydrocephalus (NPH)?,"Normal pressure hydrocephalus or NPH is a condition that mostly affects people above 60 and is characterized by mobility problems, dementia, and urinary incontinence.",hydrocephalus,https://www.nhs.uk/conditions/hydrocephalus/
What can cause congenital hydrocephalus?,Congenital hydrocephalus can be caused by various conditions such as spina bifida and infections the mother may develop during pregnancy such as mumps or rubella.,hydrocephalus,https://www.nhs.uk/conditions/hydrocephalus/
Can acquired hydrocephalus affect children?,"Yes, acquired hydrocephalus can affect both children and adults and it usually develops after illness or injury.",hydrocephalus,https://www.nhs.uk/conditions/hydrocephalus/
What is used to diagnose hydrocephalus?,Brain scans such as CT scans and MRI scans are used to diagnose hydrocephalus and check for excess fluid buildup in the brain.,hydrocephalus,https://www.nhs.uk/conditions/hydrocephalus/
What is the treatment for hydrocephalus?,"Hydrocephalus can be treated using a thin tube (shunt) that is surgically implanted in the brain and drains away the excess fluid or endoscopic third ventriculostomy (ETV), which creates a hole in the floor of the brain to release the trapped fluid.",hydrocephalus,https://www.nhs.uk/conditions/hydrocephalus/
What are the complications that may occur after hydrocephalus surgery?,"Complications that may occur after hydrocephalus surgery are shunt blockage or infection, and these should be discussed by the surgeon beforehand with the patient.",hydrocephalus,https://www.nhs.uk/conditions/hydrocephalus/
What should one do in case of hydrocephalus?,"If one or someone they know has been diagnosed with hydrocephalus, they should get in contact with relevant support organizations such as Shine, the spina bifida and hydrocephalus charity which can help provide local support groups, and other useful details related to the condition.",hydrocephalus,https://www.nhs.uk/conditions/hydrocephalus/
What is hydronephrosis?,Hydronephrosis is a condition where one or both kidneys become stretched and swollen as the result of a build-up of urine inside them. It can affect people of any age and is sometimes spotted in unborn babies during routine pregnancy ultrasound scans.,hydronephrosis,https://www.nhs.uk/conditions/hydronephrosis/
What are the symptoms of hydronephrosis?,"Symptoms for children and adults can include pain in your back or side, symptoms of a UTI, such as needing to pee more often, blood in your urine, and urinating less often than you used to with a weak stream. If you have any of these symptoms, you should see your doctor or contact 111.",hydronephrosis,https://www.nhs.uk/conditions/hydronephrosis/
What causes hydronephrosis in adults?,"In adults, hydronephrosis is commonly caused by kidney stones, pregnancy (maternal hydronephrosis), an enlarged prostate gland in men, narrowing of the ureters caused by injury, infection or surgery, bladder cancer or kidney cancer or ovarian cancer.",hydronephrosis,https://www.nhs.uk/conditions/hydronephrosis/
What are the long-term problems associated with hydronephrosis?,"Hydronephrosis does not generally cause any long-term problems if it's diagnosed and treated promptly. However, in severe cases that are left untreated, the kidneys may become scarred, which could lead to kidney failure.",hydronephrosis,https://www.nhs.uk/conditions/hydronephrosis/
What happens if a baby is diagnosed with antenatal hydronephrosis?,"As a parent, it can be worrying to learn your baby has a problem with their kidneys. But most cases of hydronephrosis in babies are not serious and should not affect the outcome of your pregnancy. Sometimes, babies born with ANH may need to be treated with antibiotics to prevent kidney infections, but most babies born with ANH will have no lasting problems.",hydronephrosis,https://www.nhs.uk/conditions/hydronephrosis/
How is antenatal hydronephrosis diagnosed?,"Antenatal hydronephrosis does not usually cause any symptoms. It is often found during pre-natal scans or in tests that are being done for other reasons. If your baby is diagnosed with antenatal hydronephrosis, you may be referred for an ultrasound scan to assess the kidneys.",hydronephrosis,https://www.nhs.uk/conditions/hydronephrosis/
How is hydronephrosis treated?,"If you have hydronephrosis, your treatment will depend on what's causing the condition and how severe it is. Pregnant women and babies with the condition may not require any treatment. In adults, the first stage of treatment is often to drain the urine out of your kidneys by inserting a tube called a catheter into your bladder or kidneys. This will help relieve the pressure on your kidneys. Once the pressure has been relieved, the cause of the build-up of urine may need to be treated.",hydronephrosis,https://www.nhs.uk/conditions/hydronephrosis/
What is antenatal hydronephrosis?,Antenatal hydronephrosis is a type of hydronephrosis that is increasingly being found in unborn babies during routine ultrasound scans. It's estimated to show up on at least 1 in every 100 pregnancies.,hydronephrosis,https://www.nhs.uk/conditions/hydronephrosis/
What are the causes of antenatal hydronephrosis?,"Antenatal hydronephrosis diagnosed in pregnancy is usually mild. It's thought to be caused by an increase in the amount of urine your baby produces in the later stages of pregnancy. In more severe cases, it may be caused by a blockage in the flow of urine from the kidneys to the bladder, backflow of urine from the bladder to the kidneys, or a blockage in the flow of urine out of the bladder.",hydronephrosis,https://www.nhs.uk/conditions/hydronephrosis/
